letter_number,entity_name,entity_type
023,South  Carolina,LOCATION
023,The  Union,LOCATION
023,Wayne,PERSON
023,Georgia,LOCATION
023,Clayton,PERSON
023,Jones,PERSON
023,Clayton,PERSON
023,Foster,PERSON
023,Branham,PERSON
023,Georgia,LOCATION
023,Cummings,LOCATION
023,Seyle,PERSON
023,Drayton,LOCATION
023,Poinsett,PERSON
023,Tom  Gantt,PERSON
023,Turnbull,LOCATION
023,Robert  Barnwell,PERSON
023,Smith,LOCATION
023,Uncertain,PERSON
023,States,LOCATION
023,Alfred  Huger,PERSON
023,Charles,PERSON
023,Charleston,LOCATION
023,Simoniens,PERSON
023,Figaro,PERSON
024,"ELLIOTT
LOCATION",PERSON
024,Creek,LOCATION
024,S.  B.  Margin,PERSON
024,Elliott,PERSON
024,Georgia,LOCATION
024,Calhoun,PERSON
024,Savannah,LOCATION
025,S.  LEGARE,PERSON
025,BRUSSELS,LOCATION
025,Charleston,LOCATION
025,Jack,PERSON
025,McDuffie,PERSON
025,Hamilton,PERSON
025,Johnson,PERSON
025,O'Neall,LOCATION
025,Johnson,PERSON
025,O'Neal,PERSON
025,United  States,LOCATION
025,Poinsett,PERSON
025,Ben  Hunt,PERSON
025,Hamilton,PERSON
025,Scott,PERSON
025,Sullivan,PERSON
025,Carew,PERSON
025,Hamilton,PERSON
025,McDuffie,PERSON
025,Frost,PERSON
025,Patterson,PERSON
025,Martin,PERSON
025,Earle,PERSON
025,Evans,PERSON
025,Gantt,PERSON
025,ardson,PERSON
025,Henry  A.,PERSON
025,Toomer,PERSON
025,Horry,PERSON
025,Spartanburg,LOCATION
025,Greenville,LOCATION
025,Lancaster,PERSON
025,States,LOCATION
025,Cooper,PERSON
025,Smith,LOCATION
025,Robert  Barnwell,PERSON
025,Henry  L.  Pinckney,PERSON
025,Drayton,LOCATION
025,Charles,PERSON
025,James  Louis  Petigru,PERSON
026,Charleston,LOCATION
026,Duffie,PERSON
026,Johnson,PERSON
026,Richardson,PERSON
026,Gantt,PERSON
026,Calhoun,PERSON
026,Smith,LOCATION
026,Charleston,LOCATION
026,Philip  Cohen,PERSON
026,Rutledge,LOCATION
026,Holmes,PERSON
026,Charleston,LOCATION
026,Charleston,LOCATION
026,Preston,PERSON
026,Hamilton,PERSON
026,Havana,LOCATION
026,South  Carolina,LOCATION
026,St.,LOCATION
026,Thomas,PERSON
026,Canterbury,LOCATION
026,Webster,PERSON
026,Calhoun,PERSON
026,Webster,PERSON
026,Calhoun,PERSON
026,Virginia,LOCATION
026,South  Carolina,LOCATION
026,"Benjamin
Watkins  Leigh  was",PERSON
026,South  Carolina,LOCATION
026,Virginia,LOCATION
026,Forsyth,LOCATION
026,Georgia,LOCATION
026,Milledgeville,PERSON
026,Southern  States,LOCATION
026,States,LOCATION
026,Virginia,LOCATION
026,Southern  States,LOCATION
026,South  Carolina,LOCATION
026,Pringle,PERSON
026,Circus,LOCATION
026,Georgians,PERSON
026,Alfred  Huger,PERSON
026,Thomas,PERSON
026,Elliott,PERSON
026,Savannah,LOCATION
026,Savannah,LOCATION
026,Seaborn  Jones,PERSON
026,Columbus,LOCATION
026,Beaufort,LOCATION
026,Young  Hayne,PERSON
026,Huger,PERSON
026,Tom,PERSON
027,Charleston,LOCATION
027,Huger,PERSON
027,Pringle,PERSON
027,Heyward,PERSON
027,Elliott,PERSON
027,New  York,LOCATION
027,Calhoun,PERSON
027,Martin,PERSON
027,R.  N.,PERSON
027,McDuflie,PERSON
027,Hamilton,PERSON
027,Fort,LOCATION
027,Moultrie,PERSON
027,Hampden,PERSON
027,Washington,LOCATION
027,Calhoun,PERSON
027,Webster,PERSON
027,Webster,PERSON
027,Calhoun,PERSON
027,Duff  Green,PERSON
027,Duff,PERSON
027,Calhoun,PERSON
027,Benjamin,PERSON
027,Leigh,PERSON
027,Virginia,LOCATION
027,Hamilton,PERSON
027,Leigh,PERSON
027,Virginia,LOCATION
027,Jefferson,PERSON
027,Calhoun,PERSON
027,Leigh,PERSON
027,Tyler,PERSON
027,Calhoun,PERSON
027,Leigh,PERSON
027,McDuffie,PERSON
027,Washington,LOCATION
027,Richardson,PERSON
027,Drove  Johnson,PERSON
027,Virginia,LOCATION
027,Singleton,LOCATION
028,Charleston,LOCATION
028,Elliott,PERSON
028,Adieu,LOCATION
029,HUGH S. LEGARE,PERSON
029,Washington,LOCATION
029,Schmidt,PERSON
029,Brutus,PERSON
029,"Alfred
Huger",PERSON
029,Ben  Huger,PERSON
029,Charles  Alfred,PERSON
029,Drayton,LOCATION
029,Drayton,LOCATION
029,Charleston,LOCATION
029,Philadelphia,LOCATION
029,Hamilton,PERSON
029,Hamilton,PERSON
029,Jacobins,PERSON
029,Warren,PERSON
029,Tom  Williams,PERSON
029,Williams,PERSON
029,Gisberne,PERSON
029,Davis,PERSON
029,Felder,PERSON
029,Columbia,LOCATION
029,Martin,PERSON
029,Charleston,LOCATION
029,Martin,PERSON
029,Belgium,LOCATION
029,Calhoun,PERSON
029,Webster,PERSON
029,Jeroboam,PERSON
029,South  Carolina,LOCATION
029,Rome,LOCATION
029,United  States,LOCATION
029,States,LOCATION
029,William  Jones,PERSON
029,Georgia,LOCATION
029,Virginia,LOCATION
029,Charleston,LOCATION
029,Henry  Cruger,PERSON
029,Miss,PERSON
029,Douglas,PERSON
029,Georgia,LOCATION
029,Bergeaud,PERSON
029,Louis  Philippe,PERSON
030,HUGH S. LEGARE,PERSON
030,Charleston,LOCATION
030,Calhoun,PERSON
030,United  States,LOCATION
030,Isaac  Holmes,PERSON
030,Martin,PERSON
030,Martin,PERSON
030,Balaam,PERSON
030,Georgia,LOCATION
